key;RU;EN
START_GAME;НАЧАТЬ ИГРУ;START GAME
SETTINGS;НАСТРОЙКИ;SETTINGS
EXIT;ВЫХОД;EXIT
;;
PLANT_RESOURCE_NAME_1;Медовичка;
PLANT_RESOURCE_COOL_NAME_1;Медовичка Целебная (Melrotundum officinalis);
PLANT_RESOURCE_DESCRIPTION_1;"""Медовичка - Неприхотливое растение, крайне простое в уходе. Растёт в неудобренной почве, но очень любит воду. Помогает при ранах и ожогах - сок ягод обладает заживляющими и противовоспалительными свойствами. Собирать лучше в начале сентября. Кора не дымит и очень плохо горит. Компонент для зелий с активным элементом воды! Не смешивать с натриевыми солями!!!
Цветки Медовички, вплетённые в косы роженицы, помогут родить здорового и крепкого ребёнка, которому в жизни никогда не придётся столкнуться с пожарами.""";"Medovichka — an unpretentious plant, very easy to care for. Grows in unfertilised soil but loves water. Helps with wounds and burns — the berry juice has healing and anti-inflammatory properties. Best harvested in early September. The bark doesn't smoke and burns very poorly. An ingredient for potions with an active water element! Do not mix with sodium salts!!!
Medovichka flowers, braided into a labouring woman's hair, will help her give birth to a healthy and strong child who will never have to face fires in their life."
PLANT_RESOURCE_COOL_DESCRIPTION_1;"""Медовичка Целебная (Melrotundum officinalis)
Неприхотливое растение, рода кризомеловых. Крайне прост в уходе, очень часто используется как декоративное растение. 
Все семейство Булиальбовых чаще всего распространены среди заболоченых районов. Ствол растения очень быстро деревенеет, уже к появлению первых завезей. 
Цветки мелкие голубого цвета быстро опадают. После созревания образуют белые сладкие плоды, пригодые в пищу.
Листья растения небольшие и имеют форму сердца. 
""";"Medovichka Healing (Melrotundum officinalis)
An unpretentious plant of the Chrysomelaceae family, very easy to care for and commonly used as an ornamental plant.
The entire Bulialbov family is most commonly found in swampy areas. The plant's stem hardens very quickly, already by the time the first ovaries appear.
The flowers are small, blue, and fall off quickly. After ripening, they form white, sweet fruits that are edible.
The plant's leaves are small and heart-shaped."
PLANT_RESOURCE_SMELL_1;Имеет древесный тонкий аромат - бабушка всегда говорила, что он напоминает ей маму.;Has a subtle woody scent — grandmother always said it reminded her of her mother.
PLANT_RESOURCE_ENERGY_1;Источает нежную энергию, схожую с движением ручья. Я будто слышу капли воды.;Radiates a gentle energy, reminiscent of a flowing stream. It's as if I can hear drops of water.
